brand_name,product_category,total_ads_visible,dominant_hook_type,dominant_ad_format,best_hook_verbatim,body_copy_formula,headline_variants,dominant_cta,unique_creative_angle,top_swipe_element,creative_quality_score,key_framework_insight,video_image_ratio,page_accessible
The Ridge,Minimalist Wallets & Everyday Carry,10,Problem Agitation,Mixed,"Inspired by the Japanese art of Kintsugi, our latest drop brings cracked-beautiful patterns to your everyday essentials.","The body copy often starts with a product feature or a problem statement related to traditional wallets, followed by how Ridge Wallet solves it, and then lists benefits like durability, slimness, and RFID blocking. Some ads also highlight limited editions or savings.",1. Upgrade Your Wallet | 2. Streamline Your Everyday Carry | 3. Slim. Secure. Built to last.,Shop Now,"The brand consistently focuses on the 'minimalist' and 'secure' aspects of their wallets, often contrasting them with traditional bulky wallets. They also leverage limited edition drops and design aesthetics (like Kintsugi) to create desire beyond pure utility.","The consistent use of 'Shop Now' CTA across various product offerings, combined with clear benefit-driven headlines.",8.0,"High-converting ads for Ridge Wallet consistently agitate the problem of bulky, insecure traditional wallets and position Ridge as the modern, minimalist solution, emphasizing durability and RFID protection.","60% video, 40% image",True
Hears_Earplugs,Earplugs,8800,Curiosity Gap,Product Demo,"Stylish Earplugs with Patented & Innovative Filters for Parties, Festivals, and Other Loud Events","Problem-solution-benefit structure, often starting with a relatable problem, introducing Hears as the solution, and detailing benefits with social proof elements. Emphasizes product features, design, and awards.","1. Stylish Earplugs with Patented & Innovative Filters for Parties, Festivals, and Other Loud Events | 2. 🔊 Going to a loud event? Hears eliminates the damaging noise. While preserving the clarity of music. | 3. It started with a beep that never stopped.",Shop Now,"Focus on preserving music quality and social experience while protecting hearing, emphasizing discreet design and award-winning technology, differentiating from generic foam earplugs. Often uses a founder story or problem-solution narrative.","The use of relatable problem agitation hooks (e.g., 'Love the party vibes, hate the ear pain?') followed by a clear, elegant solution, and reinforced by social proof (awards, ratings).",8.5,"Hears effectively leverages problem-solution narratives, highlighting the pain points of loud environments and offering a sophisticated, effective solution. Strong emphasis on quality, design, and social proof (awards, ratings) builds trust and desirability. The founder's story adds a personal touch.","80% video, 20% image",True
Wuffes,"Dog Supplements (Hip & Joint, Calming, Gut Health)",2400,Problem Agitation,UGC Talking Head,"It starts small. Shorter walks, less excited for playtime, awkward when standing up 💔🐕",Problem Agitation (It starts small... joint discomfort creeping in) + Solution (Wuffes Vet-Backed Hip & Joint chew) + Offer/Urgency (FREE Labor Day Gift! Stock is going fast) + Call to Action (Don't let joint issues steal your dog's joy),1. Help your dog feel themselves again 🐶 | 2. Better Joints in 90 Days Guaranteed | 3. Shop Wuffes at Petco,Shop now,"Focusing on the subtle, emotional signs of joint discomfort (shorter walks, less excitement) rather than just clinical facts, making the problem highly relatable to pet owners.","The emotional hook 'It starts small. Shorter walks, less excited for playtime, awkward when standing up 💔🐕' that perfectly captures the subtle signs of aging/joint issues pet owners worry about.",8.0,"Using emotional problem agitation (""It starts small. Shorter walks..."") combined with a strong guarantee (""Better Joints in 90 Days Guaranteed"") and clear discount/offer URLs (WUFFES.COM/SAVE50%) drives high engagement for pet health products.","90% video, 10% image",True
Tractive,Pet GPS Tracker,23,Problem Agitation,Video,"Mis perros están entrenados, son obedientes y aun así llevan su GPS porque siguen siendo perros Porque un localizador no es solo para si se escapan también es para disfrutar con tranquilidad de nue...","Focuses on problem agitation (pet safety, losing pets) and solution (Tractive GPS) with social proof/influencer endorsements and discount offers.","1. 40% de descuento en el localizador que elijas haciendo click en el enlace de mi perfil con el cd... | 2. Auch der gehorsamste Hund kann pltzlich weg sein. | 3. (Link en bio) NOVEDAD Versin 2.0 del @tractive para mascotas  Ya era genial, pero ahora es mejor!",Shop Now,"Leverages influencer endorsements (e.g., dog trainers, vets) to build trust and demonstrate product utility in real-life scenarios, often highlighting the emotional aspect of pet safety.",Influencer testimonials and discount codes embedded directly in the ad copy.,7.5,"Utilizing credible third-party endorsements (influencers) significantly enhances trust and conversion, especially when combined with direct offers.","61% video, 39% image",True
Eight Sleep,Smart Sleep System / Mattress Cooling System,1600,Problem Agitation,Static Image,"The Pod is clinically proven to deliver real results for your sleep, every night: Up to 44% less time to fall asleep, Up to 34% more deep sleep, Up to 45% reduction in snoring, Up to 23% fewer night wake ups","Focus on clinical results (quantifiable improvements in sleep metrics), risk-free trial (30 nights), and the core benefit of temperature regulation (cooling/heating). Often uses bullet points for easy reading.","1. Try Pod 5 for 30 Nights Risk-Free: The Best Sleep You've Ever Had | 2. Pod 5: Designed For Deep Sleep, Personalized To You | 3. Sleep At The Temperature You Want With Pod 5: No More Thermostat Wars",Shop Now,"Focuses heavily on scientific, quantifiable benefits of sleep improvement and temperature regulation, using clinical data points rather than just subjective testimonials.","Clear, bulleted presentation of clinical results (e.g., 'Up to 34% more deep sleep') immediately following the hook, paired with a prominent risk-free trial offer.",8.5,"Highlighting quantifiable, clinically proven benefits (e.g., specific percentages for sleep improvement) combined with a strong risk-free trial offer is highly effective for premium health/wellness products.","30% video, 70% image",True
Halara,"Activewear/Fashion (Dresses, Leggings, Apparel)",30,Mixed,Static Image,No specific best hook identified without deeper content analysis.,"Ads generally start with a benefit-oriented statement, followed by product features/use cases, and end with a call to action or urgency. Example: [Benefit] + [Features/Use Cases] + [CTA/Urgency]",1. [Product Name] - [Benefit] | 2. [Discount/Offer] - [Product Category] | 3. [Feature] for [Occasion],Shop Now,"Halara focuses on combining fashion and function, emphasizing comfort, style, and versatility for various activities. Their ads often feature vibrant colors and diverse body types.","The use of emojis (🦋🧡💋👇✨🥰) to break up text and add visual appeal, along with clear calls to action and product-in-use visuals.",7.5,"High-converting ads for activewear brands like Halara leverage strong visual appeal, highlight both fashion and function, and use clear, benefit-driven copy with direct calls to action.","43% video, 57% image",True
Ekster,Smart Wallets & Travel Accessories,10,Mixed,Mixed,"""This is the Tesla of wallets.""","Problem/Bold statement -> Product as solution -> Bullet points of features/benefits -> Social proof (reviews, awards) -> Call to action.",1. [Benefit-driven] | 2. [Problem Agitation] | 3. [Social Proof/Urgency],Shop Now,"Ekster's ads consistently position their products as innovative, high-tech solutions to common problems (e.g., bulky wallets, limited packing space), often using strong analogies like 'Tesla of wallets' and emphasizing trackability and modularity.","The use of concise, benefit-driven bullet points with checkmarks (✅) or emojis (💥) to highlight key features and advantages.",8.5,"Ekster effectively uses a combination of problem-agitation and curiosity-gap hooks, immediately followed by strong social proof and clear benefit-driven bullet points to drive conversions.","80% video, 20% image",True
Burga,Phone Cases & Accessories,228,Curiosity Gap,Product Demo,New Phone? Let’s Make It Iconic.300+ protective designs. Shop now.,"Focuses on product features (protection, style) and calls to action. Often highlights new products or collections.",1. New Phone? Let’s Make It Iconic.300+ protective designs. Shop now.,Subscribe,"Combines strong product protection messaging with fashion-forward aesthetics, appealing to users who prioritize both device safety and personal style.","High-quality lifestyle imagery and videos showcasing the phone cases as fashion accessories, often paired with clear benefit-driven headlines.",8.5,Effective ads blend product utility (protection) with aspirational lifestyle elements (style) to create a compelling value proposition.,"100% video, 0% image",True
Tropicfeel,"Travel Gear (Backpacks, Sneakers)",3,Personal Testimony,Product Demo,"If you’re not using this bag, I honestly don’t know how you’re traveling.","User testimonial/experience focusing on product benefits (comfort, features, versatility) for travel, followed by a call to action to visit the website.","1. If you’re not using this bag, I honestly don’t know how you’re traveling. | 2. These are the only travel sneakers I pack - lightweight, water-friendly and insanely comfortable even after hours of walking. | 3. Took the AT2 on the road and they didn’t disappoint.",Visit website (implicit),"Focus on authentic travel experiences and practical utility through influencer-style UGC, rather than highly polished studio shots. The ads highlight specific product features (e.g., water-friendly, comfortable, smart compartments) within the context of actual travel, making them relatable and aspirational for travelers.",UGC-style video demonstrating product use in various travel settings with a focus on key features and benefits.,8.5,"Leverage user-generated content (UGC) and personal testimonials to showcase product benefits in real-world travel scenarios, emphasizing comfort, versatility, and practical features.","100% video, 0% image",True
SURI,Electric Toothbrushes,60,Mixed,Product Demo,"""Award-winning electric toothbrushes, designed for life.""",Strong Claim/Award -> Bulleted Feature List (with emojis) -> Risk Reversal (100-day guarantee) -> Disclaimer,"1. SURI — A better clean, in every way | 2. SURI 2.0: An icon, redefined. | 3. SURI—Up to 30% Off",Learn More,"Focuses heavily on sustainability (plant-based heads, repairable aluminium body) combined with premium design aesthetics, differentiating from typical plastic electric toothbrushes.","The structured, emoji-bulleted feature list followed immediately by a strong risk reversal (100-day money-back guarantee).",8.5,Pairing high-end design aesthetics with strong sustainability claims and a robust risk reversal creates a compelling premium offer.,"50% video, 50% image",True
Petlibro,"Pet Tech (Smart Feeders, Fountains, Cameras)",18,Problem Agitation,Product Demo,🎁Find the perfect gift to spoil your pet.,"Problem/Solution approach, highlighting features and benefits with bullet points or emojis, followed by a call to action and discount codes.","1. Pet Care, Wrapped Up | 2. RFID Smart Feeder | 3. Feeding Made Personal",Shop Now,"Focus on solving common pet owner problems (e.g., multi-pet feeding, pet hydration, monitoring pets) through smart technology, often featuring real pets and influencers.",UGC/Influencer testimonials showcasing product in use with pets.,8.0,Leveraging user-generated content (UGC) and influencer marketing with clear calls to action and discount codes is highly effective for pet tech products. Emphasizing problem-solving and convenience for pet owners resonates well.,,True
Tuft & Paw,Cat Litter & Accessories,60,Problem Agitation,UGC Talking Head,"""We all love our cats 🐈 but NOBODY likes dealing with cat litter. Really Great Cat Litter fixes the worst part about cat litter:""","Problem/Agitation (NOBODY likes dealing with cat litter) -> Solution (Really Great Cat Litter fixes the worst part) -> Bulleted list of benefits with checkmarks (NO TRACKING, 99% DUST-FREE, Fast clumping, Flushable) -> Offer/Urgency (Use code TUFT20 for an EXTRA 20% off your first order!)","1. This cat litter is AMAZING | 2. Game. Changer. Upgrade your litter | 3. Cat parents, take note. Low-tracking litter alert.",Shop Now,"They focus heavily on the negative aspects of traditional cat litter (tracking, dust, smell) and position their product as the ultimate, hassle-free solution, often using UGC to build trust.","The use of a bulleted list with checkmark emojis to clearly and concisely communicate the product's key benefits, making it easy to read and digest.",8.5,"Use a strong, relatable problem statement as the hook, followed by a clear, bulleted list of benefits that directly address the pain points, and close with a strong offer code.","90% video, 10% image",True
OrbitKey,Everyday Carry Accessories,3200,Problem Agitation,Mixed,"""Still digging through your bag trying to find your cables, chargers and tech accessories?""",Problem/Benefit -> Product Introduction -> Features/Benefits -> Urgency/Offer -> Call to Action,1. [Product Name] | 2. [Benefit-Oriented Phrase] | 3. [Promotional/Urgency Offer],Shop Now,"OrbitKey's ads consistently highlight practical problems and offer their products as elegant solutions, often leveraging collaborations with popular brands like Disney for novelty and emotional appeal. They focus on organization, quality, and thoughtful design.",The use of clear problem-agitation hooks followed by a direct solution and a strong call to action.,8.5,Effective ads combine problem-agitation with clear product benefits and leverage novelty through collaborations to capture attention and drive conversions.,"50% video, 50% image",True
Duradry,Antiperspirant/Deodorant,18,Mixed,Video,"Stay dry, fresh, and move freely with Duradry.","Problem-solution framework, highlighting product benefits and clean ingredients.",Confidence starts under your arms. Powerful Protection. Clean Feel. Shop now | Built For Busy Days. Deodorant Designed For Everyday Confidence. Shop Now | Designed For Life On The Go. Serious Protection. Thoughtful Ingredients. Shop now,Send message,"Focus on clinical strength sweat protection with clean ingredients, emphasizing confidence and an active lifestyle.",Before/After imagery or testimonials showing sweat reduction.,8.5,Leveraging user-generated content (UGC) and problem-solution narratives effectively drives engagement for personal care products.,"100% video, 0% image",True
Hello Klean,Shower Filters/Hair & Skin Care,7,Problem Agitation,UGC Talking Head,if you think you don’t need a shower filter - think again,"Problem-Agitation-Solution (PAS) focusing on hard water issues (dullness, dehydration, irritation) and presenting Hello Klean as the ""water-first solution"" or ""water experts"".",1. Your shower deserves better water | 2. Invest in water-first solutions for softer hair and skin. | 3. Beauty solutions for your water,Learn More,"They reframe a plumbing/hardware product (shower filter) as an essential beauty and skincare step, using UGC creators to demonstrate the aesthetic benefits.","The angle of blaming ""hard water"" as the hidden villain for common beauty problems (dry skin, dull hair), shifting the focus from topical products to the water itself.",8.0,"Positioning the product not just as a filter, but as a foundational ""water-first beauty solution"" that addresses the root cause of hair and skin issues (hard water).","43% video, 57% image",True
Itch Pet,Pet Flea & Tick Treatment,240,Problem Agitation,VSL,Never forget to protect your pet🐱🐶,"Problem Agitation (Fleas/Ticks) -> Solution Introduction (Itch Flea) -> Bulleted Benefits (Vet approved, proven) -> Offer (First Month Free)",1. [Don’t Let One Flea Become One Million] | 2. [More Powerful Than Cheaper Brands] | 3. [First Month Free (£2.99 P&P)],Learn more,Combining strong problem agitation (fear of infestation) with an irresistible introductory offer (First Month Free) and high social proof.,"The bulleted list of trust signals (Vet approved, 7.5m sold, 110k subscribers) immediately following the product introduction.",8.0,"For subscription products, lower the barrier to entry with a ""Free Trial"" (just pay shipping) while building massive trust through social proof numbers.","64% video, 36% image",True
ST_ARGO,Unknown,,Mixed,Mixed,None,No specific body copy formula could be identified as no relevant ads for ST_ARGO were found.,No specific headline variants could be identified as no relevant ads for ST_ARGO were found.,None,,No specific top swipe element could be identified as no relevant ads for ST_ARGO were found.,1.0,"The Meta Ad Library search functionality can be broad, returning ads containing keywords rather than exact brand matches. This highlights the importance of verifying brand relevance when extracting ad data.","0% video, 0% image",True
Heim Health,"Productivity/Self-Improvement, Pet Products (Dog Bed/Toy), General E-commerce, Sleep/Bedding Products",26,Mixed,Video,Double-stuffed loft that stands inches higher than anything else. Itâs like upgrading from a blanket to a cloud.,"Many ads use a problem-solution framework, highlighting issues like neck pain or poor sleep and offering the product as a solution. Others use personal testimonials or descriptive language to emphasize product benefits like comfort and quality. For pet products, the formula focuses on the pet's emotional well-being and the owner's experience.",1.  | 2. THEMELLOWDOG.COM Dogs' Emotional Support Duck âï¸ Specifically made from the color that's visible to dog's vision and sparks joy for dogs. They will play with it and sleep with it Shop now | 3. MELLOWSLEEP.COM Sleep Inside A Cloud Shop now,N/A,"Mellow Sleep uses a mix of authority figures (chiropractor) and relatable personal testimonials (dog owner, everyday user) to promote their products. They also leverage descriptive language to evoke comfort and luxury. The 'Mellow Dog' ads stand out with a quirky, emotional appeal for pet products.","The use of a 'doctor avatar' (Dr. Ralph Napolitano) to provide authority and credibility for sleep products, and the 'emotional support duck' narrative for pet products are highly replicable.",8.0,"High-converting ads effectively combine authority-based endorsements with personal, relatable stories. Utilizing distinct creative angles for different product lines (e.g., sleep vs. pet) enhances engagement.","100% video, 0% image",True
NORD,Fragrance balm/scents,165,Problem Agitation,Product Demo,Tired of fragrances that fade by lunchtime? Meet Nord Fragrances. Designed to stay with you.,"The ads consistently highlight product features (ultra compact, natural, refillable, travel-friendly, skin-safe, alcohol-free) and benefits (smell great, no hassle at customs, scents that turn heads). They often use bullet points or emojis to list these features, followed by a call to action or a promotional offer.",1. Your New Fragrance Essential: Premium Scents for Every Occasion! | 2. Your new travel buddy: NORD Fragrances | 3. Here’s why smart guys are switching to NORD:,Shop Now,"NORD's ads stand out by focusing on the practical problems associated with traditional fragrances (fading, spills, glass bottles, travel restrictions) and positioning their solid fragrance balm as a modern, convenient, and eco-friendly alternative. They emphasize portability, natural ingredients, and refillability.","The use of emojis (🤏, 🌱, ♾️, ✈️, 💧, ✅) to quickly convey product benefits and features in the ad copy.",8.5,"The brand effectively uses problem-agitation hooks and then immediately presents their product as the solution, emphasizing key benefits with clear, concise language and emojis. This direct approach, combined with product demonstration videos, drives conversion.",,True
Histrips,Sleep/Breathing Aids,7300,Problem Agitation,VSL,"""You've slept through phone alarms.""","Mixed: Problem-solution-benefit, often with social proof and guarantees.",1. Onyx was built for you.,Shop now,"Focus on improving sleep quality and athletic performance through breathing and gentle wake-up solutions, often using problem-agitation hooks and social proof.","The '100-day Wake-Up Guarantee: If it doesn't wake you, you don't pay.' is a strong, risk-reversal element.",8.5,"Effective ads clearly agitate a common problem (poor sleep, performance plateaus) and offer a unique, low-risk solution with strong guarantees and social proof.","100% video, 0% image",True
Respire_Strips,Mouth Tape / Sleep Strips,530,Problem Agitation,VSL,"Not all mouth tape is created equal. Our founder, Wyatt, has tried them all — and here’s what he found:","The ads consistently follow a problem-solution framework. They start by highlighting the issues with generic mouth tapes (ineffective, uncomfortable, toxic) and then introduce Respire as the superior, engineered solution with specific benefits and features. Many ads also incorporate personal testimonials or founder stories to build credibility.","1. Not all mouth tape is created equal. | 2. Yes — I Tape My Mouth Shut Every Night | 3. Sorry, We're Sold Out 😅",Shop Now,"The brand's ads are distinctive by directly confronting the skepticism and common misconceptions around mouth taping, often through a personal narrative from the founder. They emphasize scientific testing, safety, and comfort as key differentiators against a market perceived as low-quality.","The consistent use of a founder's personal story and experience to introduce the problem and solution, building authority and relatability.",8.5,"Leveraging a strong founder story and directly addressing common pain points and skepticism about the product category (mouth tape) is highly effective. Highlighting negative aspects of competitors and then positioning the product as a superior, tested solution builds trust and urgency.","90% video, 10% image",True
Manual,Men's Health & Wellness,60,Problem Agitation,UGC Talking Head,Low testosterone sneaks up on 1 in 4 men over 30.,"Problem introduction (e.g., Low testosterone sneaks up on 1 in 4 men over 30) -> Empathy/Authority (More and more men are tackling low testosterone, and as the UK's biggest testosterone clinic, we're leading the charge) -> Symptoms list (Low energy, Decreased libido, Poor sleep quality, Anxiety, Loss of strength & muscle mass) -> Solution/Offer (Check your testosterone levels with our quick & easy blood testing kit. Get 38% off your first order.)",1. [Danny’s formula for stage-ready hair] | 2. [Check your testosterone levels] | 3. [Get 38% off your first order],Shop Now,"They use a mix of relatable, everyday symptoms and authoritative positioning (UK's biggest testosterone clinic) to normalize men's health issues and offer discreet, easy solutions.","The bulleted list of relatable symptoms paired with a clear, discounted call-to-action for an easy first step (blood testing kit).",8.0,"Use relatable, common symptoms (like low energy or poor sleep) to agitate the problem before introducing a simple, low-barrier solution like an at-home blood testing kit.","70% video, 30% image",True
Attaboylabs,Men's Performance Supplements,630,Mixed,Mixed,You're not tired because you're getting older. You're tired because you're running on caffeine and cortisol — and neither one is actually giving you energy.,"The copy typically starts by addressing the target audience (active men) and their desire for sustained performance or a common problem (fatigue, reliance on stimulants). It then introduces 'Every Damn Day' as a comprehensive solution, highlighting benefits like clean energy, sharper thinking, and faster recovery, often emphasizing its science-backed, stimulant-free nature and convenience (one scoop, replaces multiple bottles). It concludes with a clear call to action.",1. The Scoop That Replaces The Stack | 2. Feel sharper. Move stronger. Stress less. | 3. 67% Off + Free Gifts 🚀 ✅ 100% Satisfaction Guarantee,Shop Now,,The concept of 'The Scoop That Replaces The Stack' as a concise and compelling unique selling proposition.,8.0,"This library demonstrates the effectiveness of positioning a single product as a comprehensive replacement for multiple existing solutions, simplifying the user's decision-making process and highlighting convenience as a key benefit.","70% video, 30% image",True
Evereden,Kids Skincare and Haircare,18,Mixed,Static Image,Designed with kids in mind \u00f0 Discover skincare that understands the unique needs of your child's delicate skin,"Starts with a relatable parenting problem (e.g., tangles, delicate skin), introduces Evereden as the safe/clean solution created by doctor moms, and ends with an offer/CTA.",,Shop Now,"Focus on clean, safe, and effective skincare for children, heavily leveraging the 'created by doctor moms' authority angle.","The 'Doctor Moms' authority positioning combined with specific problem-solving (e.g., 'Detangle pool hair in a breeze').",8.5,Leveraging authority figures (doctor moms) and emphasizing safety and efficacy for a niche market (kids skincare) builds immediate trust with parents.,"44% video, 56% image",True
Lick Paint,Paint,10,Problem Agitation,Static Image,Transform a house into your home with our high-quality Matt paint (£39).,"The body copy often starts with a direct benefit or product introduction, followed by bullet points highlighting key features and benefits (e.g., stain resistance, unique colors, coverage, finish). It concludes with clear calls to action and where to purchase.",1. Transform your home with quality paint | 2. Introducing [Product Name] | 3. Start your [Season] makeover,Shop Now,"Lick Paint's ads stand out by focusing on the emotional transformation of a home through paint, using warm and inviting language, and often collaborating with influencers or other brands to showcase their products in real-world settings. They also emphasize ease of use and quality.",The use of bullet points with emojis to highlight product features and benefits within the body copy.,8.5,"Lick Paint effectively uses a combination of aspirational language and clear product benefits, often incorporating emojis to add visual appeal and warmth to their ad copy. The emphasis on ease of use and quality, combined with specific product features, drives engagement.","20% video, 80% image",True
KHOY company,Sofa Beds,710,Problem Agitation,Product Demo,"For too long, sofa beds have been a compromise. KHOY was created to change that.","Problem-solution framework: Identify a common problem with sofa beds, then introduce KHOY as the solution, highlighting comfort, design, and trial period.",1. [Discount/Offer] off [Product] | 2. [Award/Recognition] + [Discount] | 3. Problem-Solution statement,Shop Now,"Focus on solving the traditional compromises of sofa beds through superior design and comfort, backed by awards and a generous trial period.","Video demonstrating the sofa bed's transformation and features, often with a focus on ease of use and comfort.",8.5,"Leveraging a clear problem-solution narrative combined with strong social proof (awards) and direct incentives (discounts, free trials) is highly effective for high-ticket items.","80% video, 20% image",True
Mothers Earth,"Eco-friendly cleaning products (laundry strips, dish soap)",26,Problem Agitation,Video,"Wusstest du, dass viele Spülmittel aggressive Chemikalien enthalten, die auf deinem Geschirr zurückbleiben?","Starts with a problem/question about harsh chemicals in cleaning products, introduces Mother's Earth as a natural solution, lists benefits (eco-friendly, hypoallergenic, no residue), and ends with a risk-free trial offer.","1. Wusstest du, dass... | 2. De milieuvriendelijkste... | 3. Wist je dat je...",N/A,"Focuses on the health and environmental risks of conventional cleaning products, positioning Mother's Earth as a safe, natural, and effective alternative. Emphasizes risk-free trials and cost-effectiveness.","The use of bullet points with emojis to highlight product benefits (e.g., 🍃, 👶, 🚫, ✨) for quick readability.",8.5,"Leveraging problem-agitation hooks combined with clear, bulleted benefits and a strong risk-reversal (free trial) is highly effective for eco-friendly consumer products.","92% video, 8% image",True
Wuffes,Pet Supplements,15,Problem Agitation,Video,"It starts small. Shorter walks, less excited for playtime, awkward when standing up 💔🐕","Problem-agitation (dog's discomfort) -> Solution (Wuffes supplements) -> Benefit (dog feels better) -> Social proof/Urgency (reviews, limited time offers)","1. Better Joints in 90 Days Guaranteed | 2. Help your dog feel themselves again 🐶 | 3. Joints, Gut, Stress & More",Shop now,,"The use of emojis (🐶⏰💔🐕❤️) to convey emotion and break up text, making the copy more engaging and relatable.",8.5,"Focus on the emotional pain points of pet owners (dog's discomfort, loss of joy) and offer a clear, vet-backed solution with social proof and urgency.","90% video, 10% image",True
Petlibro,Pet Tech Gadgets,26,Problem Agitation,Mixed,"""Introducing the One RFID Pet Feeder for multi-pet households to make feeding personal.""","Problem-solution framework, often starting with a pain point for pet owners (e.g., multi-pet feeding, pet health monitoring) followed by product features and benefits, sometimes using bullet points.",1. [Product Name] + Benefit | 2. Benefit-driven statement | 3. Call to action/Offer,Shop Now,"Petlibro's ads consistently focus on smart pet technology that solves common pet owner problems, emphasizing convenience, health monitoring, and personalized care for pets. They frequently use user-generated content (UGC) style videos with pet influencers to demonstrate product benefits in real-life scenarios.","The use of bullet points (✅ or 🐾) to highlight key features and benefits within the ad copy, making it easily scannable and digestible.",7.5,"Leveraging specific pet owner pain points (e.g., multi-pet households, health monitoring) and offering smart tech solutions with clear benefits (convenience, peace of mind) is highly effective.","50% video, 50% image",True
